INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Central Asia","CF4",2020,0,2020,7.39,"Central Asia","GHG","1990$/tCF4","GgCF4"
"Central Asia","HFC125",2020,0,2020,3.5,"Central Asia","GHG","1990$/GgHFC125","GgHFC125"
"Central Asia","HFC134a",2020,0,2020,1.43,"Central Asia","GHG","1990$/GgHFC134a","GgHFC134a"
"Central Asia","HFC245fa",2020,0,2020,1.03,"Central Asia","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Central Asia","SF6",2020,0,2020,22.8,"Central Asia","GHG","1990$/tSF6","GgSF6"
"Central Asia","CH4_AWB",2020,0,2020,25,"Central Asia","GHG","1990$/tCH4","TgCH4"
"Central Asia","CH4_AGR",2020,0,2020,25,"Central Asia","GHG","1990$/tCH4","TgCH4"
"Central Asia","N2O_AWB",2020,0,2020,298,"Central Asia","GHG","1990$/tN2O","TgN2O"
"Central Asia","N2O_AGR",2020,0,2020,298,"Central Asia","GHG","1990$/tN2O","TgN2O"
"Central Asia","CO2_LUC",2020,0.01,2020,3.666666667,"Central Asia","GHG","1990$/tC","MTC"
"Central Asia","HFC143a",2020,0,2020,4.47,"Central Asia","GHG","1990$/GgHFC143a","GgHFC143a"
"Central Asia","HFC152a",2020,0,2020,0.124,"Central Asia","GHG","1990$/GgHFC152a","GgHFC152a"
"Central Asia","HFC227ea",2020,0,2020,3.22,"Central Asia","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Central Asia","HFC23",2020,0,2020,14.8,"Central Asia","GHG","1990$/GgHFC23","GgHFC23"
"Central Asia","HFC236fa",2020,0,2020,9.81,"Central Asia","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Central Asia","HFC32",2020,0,2020,0.675,"Central Asia","GHG","1990$/GgHFC32","GgHFC32"
"Central Asia","HFC365mfc",2020,0,2020,0.794,"Central Asia","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"China","CO2",2020,1,2020,3.666666667,"China","GHG","1990$/tC","MTC"
"China","CH4",2035,0,2035,25,"China","GHG","1990$/tCH4","TgCH4"
"China","N2O",2035,0,2035,298,"China","GHG","1990$/tN2O","TgN2O"
"China","C2F6",2035,0,2035,12.2,"China","GHG","1990$/tC2F6","GgC2F6"
"China","CF4",2035,0,2035,7.39,"China","GHG","1990$/tCF4","GgCF4"
"China","HFC125",2035,0,2035,3.5,"China","GHG","1990$/GgHFC125","GgHFC125"
"China","HFC134a",2035,0,2035,1.43,"China","GHG","1990$/GgHFC134a","GgHFC134a"
"China","HFC245fa",2035,0,2035,1.03,"China","GHG","1990$/GgHFC245fa","GgHFC245fa"
"China","SF6",2035,0,2035,22.8,"China","GHG","1990$/tSF6","GgSF6"
"China","CH4_AWB",2035,0,2035,25,"China","GHG","1990$/tCH4","TgCH4"
"China","CH4_AGR",2035,0,2035,25,"China","GHG","1990$/tCH4","TgCH4"
"China","N2O_AWB",2035,0,2035,298,"China","GHG","1990$/tN2O","TgN2O"
"China","N2O_AGR",2035,0,2035,298,"China","GHG","1990$/tN2O","TgN2O"
"China","CO2_LUC",2035,0.01,2035,3.666666667,"China","GHG","1990$/tC","MTC"
"China","HFC143a",2035,0,2035,4.47,"China","GHG","1990$/GgHFC143a","GgHFC143a"
"China","HFC152a",2035,0,2035,0.124,"China","GHG","1990$/GgHFC152a","GgHFC152a"
